,total,Using online resources,Using paper materials sent home,Where classes were cancelled,Where classes changed in another way,Where no change to classes becauseschools did not close,Did not report,week
0,2168188,1565695,295870,920338,84091,1237,102197,1
10,2047676,1780797,553692,739085,110613,2427,-,2
11,1916394,1431105,456923,783980,52683,110,7120,3
12,1729172,1368184,395902,620464,85177,9063,12215,4
13,1843301,1381510,542090,721755,80853,9146,3456,5
14,1692923,1296977,460256,686031,45411,-,24434,6
15,1765408,1372803,472269,774660,68424,12423,19104,7
16,2119471,1411285,584153,913372,76097,365,102867,8
17,2028074,1497353,435552,882106,77962,5519,46762,9
1,1563268,1132111,506262,582817,77289,5712,47024,10
2,1893021,1319987,510801,744440,27794,25561,72037,11
3,1644256,1138802,353619,632179,41100,5248,13058,12
4,1645132,1145810,205770,357518,186790,106408,62130,13
5,1618463,1217227,220352,389388,188663,91882,52394,14
6,1358800,1027355,205633,300622,154273,54310,16034,15
7,1676972,1189033,254340,557946,185727,112496,92077,16
8,1552660,1176092,227146,353737,205821,87301,38197,17
9,1464512,1038351,243008,361471,135201,27178,84440,18
